,Election,OfficeName,CandidateID,CanFirstName,CanLastName,Votes,PartyAbbrev,CandidateName
575,GE 2016,19TH CIRCUIT - RETAIN LEVITT,23113,MARK L.,LEVITT - NO,42610,,MARK L. LEVITT - NO
576,GE 2016,4TH CIRCUIT - RETAIN STEDELIN,23114,MARK W.,STEDELIN - NO,23538,,MARK W. STEDELIN - NO
577,GE 2016,18TH CONGRESS,23115,JUNIUS,RODRIGUEZ,96770,DEM,JUNIUS RODRIGUEZ
578,GE 2016,32ND SENATE,23117,MELISSA,COYNE,31217,DEM,MELISSA COYNE
579,GE 2016,50TH REPRESENTATIVE,23118,VALERIE L.,BURD,20830,DEM,VALERIE L. BURD
580,GE 2016,48TH REPRESENTATIVE,23119,STEVE,SWANSON,23676,DEM,STEVE SWANSON
581,GE 2016,110TH REPRESENTATIVE,23120,DENNIS F.,MALAK,16121,DEM,DENNIS F. MALAK
582,GE 2016,26TH SENATE,23121,KELLY,MAZESKI,43738,DEM,KELLY MAZESKI
583,GE 2016,14TH REPRESENTATIVE,23123,ARTHUR NOAH,SIEGEL,7259,IND,ARTHUR NOAH SIEGEL
584,GE 2016,UNITED STATES SENATOR,23127,KENTON,McMILLEN,175988,LIB,KENTON McMILLEN
585,GE 2016,COMPTROLLER,23128,CLAIRE,BALL,187017,LIB,CLAIRE BALL
586,GE 2016,PRESIDENT AND VICE PRESIDENT,23137,JILL,STEIN,76802,GRN,JILL STEIN
587,GE 2016,UNITED STATES SENATOR,23139,SCOTT,SUMMERS,117619,GRN,SCOTT SUMMERS
588,GE 2016,COMPTROLLER,23140,TIM,CURTIN,144559,GRN,TIM CURTIN
589,GE 2016,63RD REPRESENTATIVE,23145,JOHN M.,BARTMAN,19808,DEM,JOHN M. BARTMAN
590,GE 2016,75TH REPRESENTATIVE,23146,DAVID ALLEN,WELTER,29030,REP,DAVID ALLEN WELTER
591,GE 2016,For the proposed addition of Section 11 to Article IX of the Illinois Constitution.,23147,,YES,3796654,,
592,GE 2016,For the proposed addition of Section 11 to Article IX of the Illinois Constitution.,23148,,NO,1014461,,
593,GE 2016,PRESIDENT AND VICE PRESIDENT,23150,DONALD J.,TRUMP,2146015,REP,DONALD J. TRUMP
594,GE 2016,PRESIDENT AND VICE PRESIDENT,23151,GARY,JOHNSON,209596,LIB,GARY JOHNSON
595,GE 2016,81ST REPRESENTATIVE,23153,DAVID S.,OLSEN,29406,REP,DAVID S. OLSEN
596,GE 2016,PRESIDENT AND VICE PRESIDENT,23154,HILLARY RODHAM,CLINTON,3090729,DEM,HILLARY RODHAM CLINTON
